vehicleID,registrationDate,kilometers,colour,aestheticGrade,mechanicalGrade,saleDate,make,model,doorNumber,type,fuel,transmission,yearIntroduced,cylinder,cubeCapacity,powerKW,powerHP,targetPrice
V_123156,23/08/2005,128954,Blue,Bad,Bad,22/06/2022,VOLKSWAGEN,Golf,5,Estate,Petrol,Manual,1999,14,1390,55,75,1200
V_123157,23/08/2005,125299,Grey,Good,Good,08/05/2022,TOYOTA,Corolla,5,Hatchback,Petrol,Manual,2002,16,1598,81,110,3500
V_123158,23/08/2004,212311,Grey,Bad,Very Bad,12/06/2022,VOLKSWAGEN,Polo,5,Hatchback,Petrol,Manual,2001,12,1198,48,65,1300
V_123159,23/08/2003,165233,Blue,Medium,Bad,18/06/2022,VOLKSWAGEN,Polo,3,Hatchback,Petrol,Manual,2000,10,999,37,50,1000
V_123160,23/08/1999,202655,Blue,Bad,Very Bad,16/11/2022,CITROEN,Saxo,5,Hatchback,Diesel,Manual,1996,15,1527,43,58,900
V_123161,23/06/2019,40965,Black,Medium,Very Good,03/06/2022,VOLVO,V60,5,Estate,Diesel,Automatic,2015,20,1969,110,150,28600
V_123162,23/06/2019,36528,Black,Very Good,Very Good,03/06/2022,VOLVO,V60,5,Estate,Diesel,Automatic,2015,20,1969,110,150,28600
V_123163,23/06/2019,65934,Black,Bad,Medium,08/11/2022,MINI,Mini,6,Estate,Diesel,Automatic,2015,20,1995,110,150,19100
V_123164,23/06/2019,65934,Black,Bad,Medium,05/11/2022,MINI,Mini,6,Estate,Diesel,Automatic,2015,20,1995,110,150,18800
V_123165,23/06/2019,63760,Grey,Bad,Good,25/04/2022,RENAULT,Clio,5,Hatchback,Petrol,Manual,2012,9,898,66,90,10600
V_123166,23/06/2019,41367,Grey,Good,Very Good,20/04/2022,RENAULT,Mégan,5,Estate,Diesel,Manual,2016,15,1461,81,110,16100
V_123167,23/06/2018,25751,Black,Bad,Very Good,24/10/2022,BMW,Serie-4,5,Hatchback,Diesel,Manual,2014,20,1995,165,224,30100
V_123168,23/06/2018,26166,Black,Good,Very Good,20/04/2022,NISSAN,Juke,5,Hatchback,Diesel,Manual,2014,15,1461,81,110,14300
V_123169,23/06/2018,149224,Black,Bad,Good,03/10/2022,RENAULT,Mégan,5,Estate,Diesel,Manual,2013,15,1461,81,110,10100
V_123170,23/06/2015,150164,Grey,Medium,Good,14/09/2022,BMW,Serie-1,5,Hatchback,Diesel,Manual,2011,16,1598,85,116,9100
V_123171,23/06/2014,195866,Grey,Good,Medium,02/11/2022,MERCEDES-BENZ,Classe C,4,Sedan,Diesel,Automatic,2011,21,2143,125,170,13600
V_123172,23/06/2014,93648,Black,Very Bad,Very Good,25/04/2022,PEUGEOT,107,5,Hatchback,Petrol,Manual,2012,10,998,50,68,5300
V_123173,23/06/2013,95724,Black,Medium,Medium,15/06/2022,SEAT,Ibiza,5,Estate,Diesel,Manual,2010,12,1199,55,75,5600
V_123174,23/06/2013,178489,White,Bad,Medium,16/11/2022,VOLKSWAGEN,Golf,5,Hatchback,Diesel,Manual,2008,16,1598,77,105,7900
V_123175,23/06/2013,122075,Grey,Bad,Medium,19/12/2022,RENAULT,Mégan,5,Estate,Diesel,Manual,2009,15,1461,81,110,6400
V_123176,23/06/2012,129458,Blue,Medium,Bad,14/08/2022,OPEL,Corsa D,5,Hatchback,Diesel,Manual,2006,12,1248,70,95,4200
V_123177,23/06/2012,167016,Grey,Bad,Bad,14/09/2022,VOLKSWAGEN,Golf,5,Hatchback,Diesel,Manual,2008,16,1598,77,105,6400
V_123178,23/06/2012,225053,Grey,Bad,Bad,13/12/2022,VOLKSWAGEN,Polo,5,Hatchback,Diesel,Manual,2009,16,1598,66,90,4900
V_123179,23/06/2012,107552,Grey,Bad,Good,30/05/2022,RENAULT,Mégan,5,Hatchback,Diesel,Manual,2008,15,1461,66,90,5400
V_123180,23/06/2012,169756,Grey,Very Bad,Good,13/06/2022,TOYOTA,Avensis,5,Estate,Diesel,Manual,2010,20,1998,93,126,8400
V_123181,23/06/2012,127132,Grey,Very Bad,Medium,01/10/2022,KIA,Venga,5,Hatchback,Diesel,Manual,2010,14,1396,66,90,5100
V_123182,23/06/2012,174472,White,Good,Good,16/11/2022,KIA,Ceed,5,Hatchback,Diesel,Manual,2009,16,1582,85,115,5100
